,id,Browser,n1,n2,n3,n4,e1,e2,e3,e4,a1,a2,a3,a4,1,c1,c2,c3,c4,i1,i2,2,i3,i4,age,sex,country
0,3cd4c9a7fc,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36",4,3,2,2,4,0,4,0,2,2,3,3,0,3,0,1,3,1,3,4,0,4,18,Male,Portugal
0,e0d0bbaf9f,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36",1,4,4,2,4,3,1,2,0,0,4,3,0,2,1,0,3,2,1,4,3,1,23,Female,Portugal
0,78f8088cf7,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:78.0) Gecko/20100101 Firefox/78.0,3,4,2,3,4,0,4,0,1,1,3,3,0,2,1,1,2,1,2,4,3,1,39,Male,France
0,e7f5c28da2,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:88.0) Gecko/20100101 Firefox/88.0,2,3,2,1,3,1,3,1,2,3,3,2,0,4,0,1,3,1,3,4,1,1,22,Female,Poland
0,8270866fc6,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:88.0) Gecko/20100101 Firefox/88.0,3,3,2,3,4,3,1,2,4,0,3,4,0,1,1,1,2,1,2,4,4,2,21,Male,Spain
0,4399d80f45,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36",4,4,1,1,4,2,2,0,3,1,4,4,0,0,2,0,0,1,2,4,2,1,22,Male,Poland
0,38a294929d,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36",1,4,4,0,2,0,3,0,0,0,4,3,0,1,3,3,1,0,2,4,3,1,22,Female,Greece
0,ed05e1f2da,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36",3,4,3,1,4,1,4,0,2,3,2,1,0,1,3,3,3,1,4,4,3,0,28,Male,Poland
0,c4a451c8f4,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36",0,1,3,4,3,3,2,2,1,2,3,3,0,3,1,0,3,1,3,4,3,1,19,Male,Portugal
0,e669332d42,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:88.0) Gecko/20100101 Firefox/88.0,0,0,4,4,1,3,1,2,0,1,3,3,0,4,0,0,3,0,3,4,3,1,36,Male,United Kingdom
0,de53161469,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36",4,4,3,0,4,1,2,0,0,4,4,4,0,2,0,1,1,0,3,4,3,0,20,Female,Italy
0,d59b2d1a6b,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36",0,3,3,3,4,0,3,2,1,1,3,3,0,2,0,0,3,2,2,4,2,1,29,Female,United States
0,9406459941,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36",1,3,1,2,4,3,2,1,1,1,3,4,0,0,3,1,2,2,2,4,1,2,21,CONSENT REVOKED,CONSENT REVOKED
